"method","route","flow","mode","authorization","file","line"
"DELETE","/api/v1/workspaces/[workspaceId]/lifecycle-requests/[requestId]","workspace_lifecycle.cancel","Tool with human confirmation","Authenticated workspace membership and operation-specific server policy; docs/AUTHORIZATION_MATRIX.md","src/app/api/v1/workspaces/[workspaceId]/lifecycle-requests/[requestId]/route.ts","9"
"GET","/api/v1/workspaces/[workspaceId]/lifecycle-requests","workspace_lifecycle.list","Tool","Authenticated workspace membership and operation-specific server policy; docs/AUTHORIZATION_MATRIX.md","src/app/api/v1/workspaces/[workspaceId]/lifecycle-requests/route.ts","14"
"POST","/api/v1/workspaces/[workspaceId]/lifecycle-requests","workspace_lifecycle.request","Tool with human confirmation","Authenticated workspace membership and operation-specific server policy; docs/AUTHORIZATION_MATRIX.md","src/app/api/v1/workspaces/[workspaceId]/lifecycle-requests/route.ts","28"
"PATCH","/api/v1/workspaces/[workspaceId]/members/[membershipId]","workspace_members.update_access","Tool with human confirmation","Authenticated workspace membership and operation-specific server policy; docs/AUTHORIZATION_MATRIX.md","src/app/api/v1/workspaces/[workspaceId]/members/[membershipId]/route.ts","17"
"DELETE","/api/v1/workspaces/[workspaceId]/members/[membershipId]","workspace_members.remove","Tool with human confirmation","Authenticated workspace membership and operation-specific server policy; docs/AUTHORIZATION_MATRIX.md","src/app/api/v1/workspaces/[workspaceId]/members/[membershipId]/route.ts","45"
"GET","/api/v1/workspaces/[workspaceId]/members","workspace_members.list","Tool","Authenticated workspace membership and operation-specific server policy; docs/AUTHORIZATION_MATRIX.md","src/app/api/v1/workspaces/[workspaceId]/members/route.ts","11"
"GET","/api/v1/workspaces/[workspaceId]/my-work","assigned_work.list","Tool","Authenticated workspace membership and operation-specific server policy; docs/AUTHORIZATION_MATRIX.md","src/app/api/v1/workspaces/[workspaceId]/my-work/route.ts","9"
"GET","/api/v1/workspaces/[workspaceId]/notifications","workspace_inbox.list","Tool","Authenticated workspace membership and operation-specific server policy; docs/AUTHORIZATION_MATRIX.md","src/app/api/v1/workspaces/[workspaceId]/notifications/route.ts","12"
"PATCH","/api/v1/workspaces/[workspaceId]/notifications","workspace_inbox.mark_read","Tool","Authenticated workspace membership and operation-specific server policy; docs/AUTHORIZATION_MATRIX.md","src/app/api/v1/workspaces/[workspaceId]/notifications/route.ts","26"
"GET","/api/v1/workspaces/[workspaceId]/onboarding","workspace_onboarding.read","Tool","Authenticated workspace membership and operation-specific server policy; docs/AUTHORIZATION_MATRIX.md","src/app/api/v1/workspaces/[workspaceId]/onboarding/route.ts","14"
"PATCH","/api/v1/workspaces/[workspaceId]/onboarding","workspace_onboarding.set_dismissed","Tool","Authenticated workspace membership and operation-specific server policy; docs/AUTHORIZATION_MATRIX.md","src/app/api/v1/workspaces/[workspaceId]/onboarding/route.ts","25"
"GET","/api/v1/workspaces/[workspaceId]/portfolio","portfolio_review.read","Tool","Authenticated workspace membership and operation-specific server policy; docs/AUTHORIZATION_MATRIX.md","src/app/api/v1/workspaces/[workspaceId]/portfolio/route.ts","9"
"POST","/api/v1/workspaces/[workspaceId]/project-templates/[templateId]/apply","project_templates.apply","Tool","Authenticated workspace membership and operation-specific server policy; docs/AUTHORIZATION_MATRIX.md","src/app/api/v1/workspaces/[workspaceId]/project-templates/[templateId]/apply/route.ts","11"
"GET","/api/v1/workspaces/[workspaceId]/project-templates/[templateId]","project_templates.read","Tool","Authenticated workspace membership and operation-specific server policy; docs/AUTHORIZATION_MATRIX.md","src/app/api/v1/workspaces/[workspaceId]/project-templates/[templateId]/route.ts","15"
"PATCH","/api/v1/workspaces/[workspaceId]/project-templates/[templateId]","project_templates.update","Tool","Authenticated workspace membership and operation-specific server policy; docs/AUTHORIZATION_MATRIX.md","src/app/api/v1/workspaces/[workspaceId]/project-templates/[templateId]/route.ts","25"
"DELETE","/api/v1/workspaces/[workspaceId]/project-templates/[templateId]","project_templates.archive","Tool with human confirmation","Authenticated workspace membership and operation-specific server policy; docs/AUTHORIZATION_MATRIX.md","src/app/api/v1/workspaces/[workspaceId]/project-templates/[templateId]/route.ts","41"
"GET","/api/v1/workspaces/[workspaceId]/project-templates","project_templates.list","Tool","Authenticated workspace membership and operation-specific server policy; docs/AUTHORIZATION_MATRIX.md","src/app/api/v1/workspaces/[workspaceId]/project-templates/route.ts","9"
"POST","/api/v1/workspaces/[workspaceId]/project-templates","project_templates.create","Tool","Authenticated workspace membership and operation-specific server policy; docs/AUTHORIZATION_MATRIX.md","src/app/api/v1/workspaces/[workspaceId]/project-templates/route.ts","23"
"GET","/api/v1/workspaces/[workspaceId]/projects/[projectId]/activity","project_activity.project","Tool","Authenticated workspace membership and operation-specific server policy; docs/AUTHORIZATION_MATRIX.md","src/app/api/v1/workspaces/[workspaceId]/projects/[projectId]/activity/route.ts","9"
"POST","/api/v1/workspaces/[workspaceId]/projects/[projectId]/ai/jobs/[jobId]/actions/confirm","ai_candidate_review.confirm","Tool with human confirmation","Authenticated workspace membership and operation-specific server policy; docs/AUTHORIZATION_MATRIX.md","src/app/api/v1/workspaces/[workspaceId]/projects/[projectId]/ai/jobs/[jobId]/actions/confirm/route.ts","9"
"POST","/api/v1/workspaces/[workspaceId]/projects/[projectId]/ai/jobs/[jobId]/actions/preview","ai_candidate_review.preview","Tool","Authenticated workspace membership and operation-specific server policy; docs/AUTHORIZATION_MATRIX.md","src/app/api/v1/workspaces/[workspaceId]/projects/[projectId]/ai/jobs/[jobId]/actions/preview/route.ts","9"
"POST","/api/v1/workspaces/[workspaceId]/projects/[projectId]/ai/jobs/[jobId]/cancel","ai_analysis.cancel","Tool with human confirmation","Authenticated workspace membership and operation-specific server policy; docs/AUTHORIZATION_MATRIX.md","src/app/api/v1/workspaces/[workspaceId]/projects/[projectId]/ai/jobs/[jobId]/cancel/route.ts","9"
"POST","/api/v1/workspaces/[workspaceId]/projects/[projectId]/ai/jobs/[jobId]/retry","ai_analysis.retry","Tool with human confirmation","Authenticated workspace membership and operation-specific server policy; docs/AUTHORIZATION_MATRIX.md","src/app/api/v1/workspaces/[workspaceId]/projects/[projectId]/ai/jobs/[jobId]/retry/route.ts","11"
"GET","/api/v1/workspaces/[workspaceId]/projects/[projectId]/ai/jobs/[jobId]","ai_analysis.read","Tool","Authenticated workspace membership and operation-specific server policy; docs/AUTHORIZATION_MATRIX.md","src/app/api/v1/workspaces/[workspaceId]/projects/[projectId]/ai/jobs/[jobId]/route.ts","9"
"GET","/api/v1/workspaces/[workspaceId]/projects/[projectId]/ai/jobs","ai_analysis.list","Tool","Authenticated workspace membership and operation-specific server policy; docs/AUTHORIZATION_MATRIX.md","src/app/api/v1/workspaces/[workspaceId]/projects/[projectId]/ai/jobs/route.ts","9"
"POST","/api/v1/workspaces/[workspaceId]/projects/[projectId]/ai/jobs","ai_analysis.start","Tool with human confirmation","Authenticated workspace membership and operation-specific server policy; docs/AUTHORIZATION_MATRIX.md","src/app/api/v1/workspaces/[workspaceId]/projects/[projectId]/ai/jobs/route.ts","19"
"POST","/api/v1/workspaces/[workspaceId]/projects/[projectId]/client/acceptance-targets","client_acceptance_publication.publish","Tool with human confirmation","Authenticated workspace membership and operation-specific server policy; docs/AUTHORIZATION_MATRIX.md","src/app/api/v1/workspaces/[workspaceId]/projects/[projectId]/client/acceptance-targets/route.ts","12"
"POST","/api/v1/workspaces/[workspaceId]/projects/[projectId]/client/discussion","client_team_discussion.post","Tool with human confirmation","Authenticated workspace membership and operation-specific server policy; docs/AUTHORIZATION_MATRIX.md","src/app/api/v1/workspaces/[workspaceId]/projects/[projectId]/client/discussion/route.ts","12"
"POST","/api/v1/workspaces/[workspaceId]/projects/[projectId]/client/invitations/[invitationId]/reissue","client_participants.reissue_invitation","Tool with human confirmation","Authenticated workspace membership and operation-specific server policy; docs/AUTHORIZATION_MATRIX.md","src/app/api/v1/workspaces/[workspaceId]/projects/[projectId]/client/invitations/[invitationId]/reissue/route.ts","16"
"DELETE","/api/v1/workspaces/[workspaceId]/projects/[projectId]/client/invitations/[invitationId]","client_participants.revoke_invitation","Tool with human confirmation","Authenticated workspace membership and operation-specific server policy; docs/AUTHORIZATION_MATRIX.md","src/app/api/v1/workspaces/[workspaceId]/projects/[projectId]/client/invitations/[invitationId]/route.ts","13"
"DELETE","/api/v1/workspaces/[workspaceId]/projects/[projectId]/client/items/[itemId]","client_publication.withdraw_item","Tool with human confirmation","Authenticated workspace membership and operation-specific server policy; docs/AUTHORIZATION_MATRIX.md","src/app/api/v1/workspaces/[workspaceId]/projects/[projectId]/client/items/[itemId]/route.ts","9"
"POST","/api/v1/workspaces/[workspaceId]/projects/[projectId]/client/items","client_publication.publish_item","Tool with human confirmation","Authenticated workspace membership and operation-specific server policy; docs/AUTHORIZATION_MATRIX.md","src/app/api/v1/workspaces/[workspaceId]/projects/[projectId]/client/items/route.ts","11"
"PATCH","/api/v1/workspaces/[workspaceId]/projects/[projectId]/client/participants/[participantId]","client_participants.update_role","Tool with human confirmation","Authenticated workspace membership and operation-specific server policy; docs/AUTHORIZATION_MATRIX.md","src/app/api/v1/workspaces/[workspaceId]/projects/[projectId]/client/participants/[participantId]/route.ts","18"
"DELETE","/api/v1/workspaces/[workspaceId]/projects/[projectId]/client/participants/[participantId]","client_participants.revoke","Tool with human confirmation","Authenticated workspace membership and operation-specific server policy; docs/AUTHORIZATION_MATRIX.md","src/app/api/v1/workspaces/[workspaceId]/projects/[projectId]/client/participants/[participantId]/route.ts","40"
"GET","/api/v1/workspaces/[workspaceId]/projects/[projectId]/client/participants","client_participants.list","Tool","Authenticated workspace membership and operation-specific server policy; docs/AUTHORIZATION_MATRIX.md","src/app/api/v1/workspaces/[workspaceId]/projects/[projectId]/client/participants/route.ts","15"
"POST","/api/v1/workspaces/[workspaceId]/projects/[projectId]/client/participants","client_participants.invite","Tool with human confirmation","Authenticated workspace membership and operation-specific server policy; docs/AUTHORIZATION_MATRIX.md","src/app/api/v1/workspaces/[workspaceId]/projects/[projectId]/client/participants/route.ts","25"
"POST","/api/v1/workspaces/[workspaceId]/projects/[projectId]/client/requests/[requestId]/packets","client_request_review.publish_packet","Tool with human confirmation","Authenticated workspace membership and operation-specific server policy; docs/AUTHORIZATION_MATRIX.md","src/app/api/v1/workspaces/[workspaceId]/projects/[projectId]/client/requests/[requestId]/packets/route.ts","16"
"PATCH","/api/v1/workspaces/[workspaceId]/projects/[projectId]/client/requests/[requestId]","client_request_review.update_state","Tool with human confirmation","Authenticated workspace membership and operation-specific server policy; docs/AUTHORIZATION_MATRIX.md","src/app/api/v1/workspaces/[workspaceId]/projects/[projectId]/client/requests/[requestId]/route.ts","16"
"GET","/api/v1/workspaces/[workspaceId]/projects/[projectId]/client","client_publication.overview","Tool","Authenticated workspace membership and operation-specific server policy; docs/AUTHORIZATION_MATRIX.md","src/app/api/v1/workspaces/[workspaceId]/projects/[projectId]/client/route.ts","14"
"PATCH","/api/v1/workspaces/[workspaceId]/projects/[projectId]/client","client_publication.update_summary","Tool with human confirmation","Authenticated workspace membership and operation-specific server policy; docs/AUTHORIZATION_MATRIX.md","src/app/api/v1/workspaces/[workspaceId]/projects/[projectId]/client/route.ts","26"
"POST","/api/v1/workspaces/[workspaceId]/projects/[projectId]/commercial/baseline","commercial_agreement.create_baseline","Tool with human confirmation","Authenticated workspace membership and operation-specific server policy; docs/AUTHORIZATION_MATRIX.md","src/app/api/v1/workspaces/[workspaceId]/projects/[projectId]/commercial/baseline/route.ts","11"
"POST","/api/v1/workspaces/[workspaceId]/projects/[projectId]/commercial/baseline/versions/[versionId]/activate","commercial_agreement.activate_version","Tool with human confirmation","Authenticated workspace membership and operation-specific server policy; docs/AUTHORIZATION_MATRIX.md","src/app/api/v1/workspaces/[workspaceId]/projects/[projectId]/commercial/baseline/versions/[versionId]/activate/route.ts","15"
"POST","/api/v1/workspaces/[workspaceId]/projects/[projectId]/commercial/baseline/versions","commercial_agreement.create_amendment","Tool with human confirmation","Authenticated workspace membership and operation-specific server policy; docs/AUTHORIZATION_MATRIX.md","src/app/api/v1/workspaces/[workspaceId]/projects/[projectId]/commercial/baseline/versions/route.ts","11"
"GET","/api/v1/workspaces/[workspaceId]/projects/[projectId]/commercial/drift","commercial_drift_ledger.ledger","Tool","Authenticated workspace membership and operation-specific server policy; docs/AUTHORIZATION_MATRIX.md","src/app/api/v1/workspaces/[workspaceId]/projects/[projectId]/commercial/drift/route.ts","11"
"GET","/api/v1/workspaces/[workspaceId]/projects/[projectId]/commercial/drift-summary","commercial_drift_ledger.summary","Tool","Authenticated workspace membership and operation-specific server policy; docs/AUTHORIZATION_MATRIX.md","src/app/api/v1/workspaces/[workspaceId]/projects/[projectId]/commercial/drift-summary/route.ts","11"
"GET","/api/v1/workspaces/[workspaceId]/projects/[projectId]/commercial/history","commercial_drift_ledger.history","Tool","Authenticated workspace membership and operation-specific server policy; docs/AUTHORIZATION_MATRIX.md","src/app/api/v1/workspaces/[workspaceId]/projects/[projectId]/commercial/history/route.ts","11"
"PATCH","/api/v1/workspaces/[workspaceId]/projects/[projectId]/commercial/requests/[requestId]/clarifications/[clarificationId]","commercial_clarifications.update","Tool","Authenticated workspace membership and operation-specific server policy; docs/AUTHORIZATION_MATRIX.md","src/app/api/v1/workspaces/[workspaceId]/projects/[projectId]/commercial/requests/[requestId]/clarifications/[clarificationId]/route.ts","14"
"GET","/api/v1/workspaces/[workspaceId]/projects/[projectId]/commercial/requests/[requestId]/clarifications","commercial_clarifications.list","Tool","Authenticated workspace membership and operation-specific server policy; docs/AUTHORIZATION_MATRIX.md","src/app/api/v1/workspaces/[workspaceId]/projects/[projectId]/commercial/requests/[requestId]/clarifications/route.ts","13"
"POST","/api/v1/workspaces/[workspaceId]/projects/[projectId]/commercial/requests/[requestId]/decisions","commercial_decisions.record","Tool with human confirmation","Authenticated workspace membership and operation-specific server policy; docs/AUTHORIZATION_MATRIX.md","src/app/api/v1/workspaces/[workspaceId]/projects/[projectId]/commercial/requests/[requestId]/decisions/route.ts","15"
"POST","/api/v1/workspaces/[workspaceId]/projects/[projectId]/commercial/requests/[requestId]/impacts","commercial_impact.record","Tool with human confirmation","Authenticated workspace membership and operation-specific server policy; docs/AUTHORIZATION_MATRIX.md","src/app/api/v1/workspaces/[workspaceId]/projects/[projectId]/commercial/requests/[requestId]/impacts/route.ts","15"
"GET","/api/v1/workspaces/[workspaceId]/projects/[projectId]/commercial/requests/[requestId]","commercial_requests.read","Tool","Authenticated workspace membership and operation-specific server policy; docs/AUTHORIZATION_MATRIX.md","src/app/api/v1/workspaces/[workspaceId]/projects/[projectId]/commercial/requests/[requestId]/route.ts","18"
"PATCH","/api/v1/workspaces/[workspaceId]/projects/[projectId]/commercial/requests/[requestId]","commercial_requests.update_state","Tool","Authenticated workspace membership and operation-specific server policy; docs/AUTHORIZATION_MATRIX.md","src/app/api/v1/workspaces/[workspaceId]/projects/[projectId]/commercial/requests/[requestId]/route.ts","30"
"GET","/api/v1/workspaces/[workspaceId]/projects/[projectId]/commercial/requests","commercial_requests.list","Tool","Authenticated workspace membership and operation-specific server policy; docs/AUTHORIZATION_MATRIX.md","src/app/api/v1/workspaces/[workspaceId]/projects/[projectId]/commercial/requests/route.ts","17"
"POST","/api/v1/workspaces/[workspaceId]/projects/[projectId]/commercial/requests","commercial_requests.create","Tool","Authenticated workspace membership and operation-specific server policy; docs/AUTHORIZATION_MATRIX.md","src/app/api/v1/workspaces/[workspaceId]/projects/[projectId]/commercial/requests/route.ts","34"
"GET","/api/v1/workspaces/[workspaceId]/projects/[projectId]/commercial","commercial_evidence.overview","Tool","Authenticated workspace membership and operation-specific server policy; docs/AUTHORIZATION_MATRIX.md","src/app/api/v1/workspaces/[workspaceId]/projects/[projectId]/commercial/route.ts","9"
"POST","/api/v1/workspaces/[workspaceId]/projects/[projectId]/commercial/scope-items/[scopeItemId]/archive","commercial_scope.set_archived","Tool","Authenticated workspace membership and operation-specific server policy; docs/AUTHORIZATION_MATRIX.md","src/app/api/v1/workspaces/[workspaceId]/projects/[projectId]/commercial/scope-items/[scopeItemId]/archive/route.ts","15"
"PATCH","/api/v1/workspaces/[workspaceId]/projects/[projectId]/commercial/scope-items/[scopeItemId]","commercial_scope.revise","Tool","Authenticated workspace membership and operation-specific server policy; docs/AUTHORIZATION_MATRIX.md","src/app/api/v1/workspaces/[workspaceId]/projects/[projectId]/commercial/scope-items/[scopeItemId]/route.ts","15"
"POST","/api/v1/workspaces/[workspaceId]/projects/[projectId]/commercial/scope-items","commercial_scope.create","Tool","Authenticated workspace membership and operation-specific server policy; docs/AUTHORIZATION_MATRIX.md","src/app/api/v1/workspaces/[workspaceId]/projects/[projectId]/commercial/scope-items/route.ts","11"
