"file","line","component","control","label","handlers","category","flows","mode"
"src/components/auth-forms.tsx","286","SignOutButton","button","{pending ? ""Signing out…"" : ""Sign out""}","onClick={signOut}","Account access","account_access / invitation_access","Human credential or invitation handoff"
"src/components/auth-forms.tsx","314","FormControl","Input","Dynamic/reusable control","","Account access","account_access / invitation_access","Human credential or invitation handoff"
"src/components/auth-forms.tsx","329","SubmitButton","Button","{pending ? ""Please wait…"" : children} <span aria-hidden=""true"">↗</span>","","Account access","account_access / invitation_access","Human credential or invitation handoff"
"src/components/auth-shell.tsx","18","AuthShell","a","Skip to content","href=""#main-content""","Account access","account_access / invitation_access","Human credential or invitation handoff"
"src/components/auth-shell.tsx","23","AuthShell","Link","Back to the public site","href=""/""","Account access","account_access / invitation_access","Human credential or invitation handoff"
"src/components/client-invitation-acceptance.tsx","81","ClientInvitationAcceptance","Link","Sign in","href=""/sign-in?callbackURL=%2Fclient%2Finvitations%2Faccept""","Account access","account_access / invitation_access","Human credential or invitation handoff"
"src/components/client-invitation-acceptance.tsx","87","ClientInvitationAcceptance","Link","Create account","href=""/sign-up?callbackURL=%2Fclient%2Finvitations%2Faccept""","Account access","account_access / invitation_access","Human credential or invitation handoff"
"src/components/platform-forms.tsx","712","InvitationAcceptance","Link","Sign in <span aria-hidden=""true"">↗</span>","href=""/sign-in?callbackURL=%2Finvitations%2Faccept""","Account access","invitation_access","Human invitation handoff"
"src/components/platform-forms.tsx","718","InvitationAcceptance","Link","Create account","href=""/sign-up?callbackURL=%2Finvitations%2Faccept""","Account access","invitation_access","Human invitation handoff"
"src/components/billing-workspace.tsx","168","BillingWorkspace","button","{pending === ""portal"" ? ""Opening…"" : ""Manage with provider""}","onClick={portal}","Administration","workspace_billing","Business flow / supporting control"
"src/components/billing-workspace.tsx","239","BillingWorkspace","button","{pending === plan.key ? ""Preparing…"" : ""Open sandbox checkout""}","onClick={() => checkout(plan.key)}","Administration","workspace_billing","Business flow / supporting control"
"src/components/delivery-workspace.tsx","218","WorkspaceMemberPicker","select","{name}","onChange={(event) => setSelectedUserId(event.target.value)}","Administration","workspace_members","Business flow / supporting control"
"src/components/delivery-workspace.tsx","237","WorkspaceMemberPicker","input","Dynamic/reusable control","onChange={(event) => setSearch(event.target.value)}; onKeyDown={(event) => { if (event.key === ""Enter"") { event.preventDefault(); void load(1); } }}","Administration","workspace_members","Business flow / supporting control"
"src/components/delivery-workspace.tsx","250","WorkspaceMemberPicker","button","{loading ? ""Loading…"" : ""Search""}","onClick={() => void load(1)}","Administration","workspace_members","Business flow / supporting control"
"src/components/delivery-workspace.tsx","259","WorkspaceMemberPicker","button","Previous","onClick={() => void load(pageInfo.number - 1)}","Administration","workspace_members","Business flow / supporting control"
"src/components/delivery-workspace.tsx","274","WorkspaceMemberPicker","button","Next","onClick={() => void load(pageInfo.number + 1)}","Administration","workspace_members","Business flow / supporting control"
"src/app/app/[workspaceSlug]/settings/members/page.tsx","46","MembersPage","form","<label> Search directory <input name=""query"" defaultValue={filters.query} maxLength={120} /> </label> <label> Access status <select name=""status"" defaultValue={filters.status ?? """"}> <option value="""">All</option> <option value=""active"">Active</option> <option value=""suspended"">Suspended</option> </select> </label> <lab","","Administration","workspace_members, workspace_invitations","Business flow / supporting control"
"src/app/app/[workspaceSlug]/settings/members/page.tsx","49","MembersPage","input","""query""","","Administration","workspace_members, workspace_invitations","Business flow / supporting control"
"src/app/app/[workspaceSlug]/settings/members/page.tsx","53","MembersPage","select","""status""","","Administration","workspace_members, workspace_invitations","Business flow / supporting control"
"src/app/app/[workspaceSlug]/settings/members/page.tsx","61","MembersPage","select","""role""","","Administration","workspace_members, workspace_invitations","Business flow / supporting control"
"src/app/app/[workspaceSlug]/settings/members/page.tsx","70","MembersPage","select","""invitationState""","","Administration","workspace_members, workspace_invitations","Business flow / supporting control"
"src/app/app/[workspaceSlug]/settings/members/page.tsx","81","MembersPage","button","Apply filters","","Administration","workspace_members, workspace_invitations","Business flow / supporting control"
"src/components/platform-forms.tsx","375","MemberManagement","form","<label className=""platform-field"" htmlFor=""invite-email""> <span>Teammate email</span> <input id=""invite-email"" name=""email"" type=""email"" autoComplete=""email"" required maxLength={254} /> </label> <label className=""platform-field"" htmlFor=""invite-role""> <span>Starting role</span> <select id=""invite-role"" name=""role"" defa","onSubmit={invite}","Administration","workspace_members, workspace_invitations","Business flow / supporting control"
"src/components/platform-forms.tsx","378","MemberManagement","input","""email""","","Administration","workspace_members, workspace_invitations","Business flow / supporting control"
"src/components/platform-forms.tsx","389","MemberManagement","select","""role""","","Administration","workspace_members, workspace_invitations","Business flow / supporting control"
"src/components/platform-forms.tsx","396","MemberManagement","button","{pending === ""invite"" ? ""Sending…"" : ""Invite teammate""} <span aria-hidden=""true"">↗</span>","","Administration","workspace_members, workspace_invitations","Business flow / supporting control"
"src/components/platform-forms.tsx","425","MemberManagement","input","Dynamic/reusable control","onFocus={(event) => event.currentTarget.select()}","Administration","workspace_members, workspace_invitations","Business flow / supporting control"
"src/components/platform-forms.tsx","455","MemberManagement","select","{`Role for ${member.name}`}","onChange={(event) => void changeRole( member.id, event.target.value as WorkspaceRole, ) }","Administration","workspace_members, workspace_invitations","Business flow / supporting control"
"src/components/platform-forms.tsx","474","MemberManagement","button","{member.status === ""active"" ? isSelf ? ""Suspend my access"" : ""Suspend access"" : ""Reactivate""}","onClick={() => void changeStatus( member.id, member.status === ""active"" ? ""suspended"" : ""active"", ) }","Administration","workspace_members, workspace_invitations","Business flow / supporting control"
"src/components/platform-forms.tsx","506","MemberManagement","Link","Previous members","href={workspaceDirectoryHref( workspaceSlug, filters, memberPage.number - 1, invitationPage.number, )}","Administration","workspace_members, workspace_invitations","Business flow / supporting control"
"src/components/platform-forms.tsx","523","MemberManagement","Link","Next members","href={workspaceDirectoryHref( workspaceSlug, filters, memberPage.number + 1, invitationPage.number, )}","Administration","workspace_members, workspace_invitations","Business flow / supporting control"
"src/components/platform-forms.tsx","560","MemberManagement","button","Reissue","onClick={() => void reissueInvitation(invitation.id)}","Administration","workspace_members, workspace_invitations","Business flow / supporting control"
"src/components/platform-forms.tsx","570","MemberManagement","button","Revoke","onClick={() => void revokeInvitation(invitation.id)}","Administration","workspace_members, workspace_invitations","Business flow / supporting control"
"src/components/platform-forms.tsx","591","MemberManagement","Link","Previous invitations","href={workspaceDirectoryHref( workspaceSlug, filters, memberPage.number, invitationPage.number - 1, )}","Administration","workspace_members, workspace_invitations","Business flow / supporting control"
"src/components/platform-forms.tsx","608","MemberManagement","Link","Next invitations","href={workspaceDirectoryHref( workspaceSlug, filters, memberPage.number, invitationPage.number + 1, )}","Administration","workspace_members, workspace_invitations","Business flow / supporting control"
"src/components/platform-forms.tsx","628","MemberManagement","Link","Clear filters","href={`/app/${workspaceSlug}/settings/members`}","Administration","workspace_members, workspace_invitations","Business flow / supporting control"
"src/components/platform-forms.tsx","134","WorkspaceSettingsForm","form","<label className=""platform-field"" htmlFor=""settings-name""> <span>Workspace name</span> <input id=""settings-name"" name=""name"" defaultValue={workspace.name} minLength={2} maxLength={100} required disabled={!canEdit} /> </label> <label className=""platform-field"" htmlFor=""settings-timezone""> <span> Default time zone{"" ""} <","onSubmit={submit}","Administration","workspace_settings","Business flow / supporting control"
"src/components/platform-forms.tsx","137","WorkspaceSettingsForm","input","""name""","","Administration","workspace_settings","Business flow / supporting control"
"src/components/platform-forms.tsx","152","WorkspaceSettingsForm","select","""timezone""","","Administration","workspace_settings","Business flow / supporting control"
"src/components/platform-forms.tsx","166","WorkspaceSettingsForm","button","{pending ? ""Saving…"" : ""Save settings""} <span aria-hidden=""true"">↗</span>","","Administration","workspace_settings","Business flow / supporting control"
"src/components/adoption-workspace.tsx","137","AdoptionWorkspace","a","Templates","href=""#templates""","Adoption & portability","project_templates, delivery_import, workspace_exports","Business flow / supporting control"
"src/components/adoption-workspace.tsx","138","AdoptionWorkspace","a","CSV import","href=""#import""","Adoption & portability","project_templates, delivery_import, workspace_exports","Business flow / supporting control"
"src/components/adoption-workspace.tsx","139","AdoptionWorkspace","a","Import history","href=""#history""","Adoption & portability","project_templates, delivery_import, workspace_exports","Business flow / supporting control"
"src/components/adoption-workspace.tsx","140","AdoptionWorkspace","a","Export","href=""#export""","Adoption & portability","project_templates, delivery_import, workspace_exports","Business flow / supporting control"
"src/components/adoption-workspace.tsx","165","AdoptionWorkspace","Link","<div> <strong>{item.sourceName}</strong> <span>{item.fileName}</span> </div> <div> <span className={`state-token state-${item.state}`}> {humanize(item.state)} </span> <span>{item.totalRows} rows</span> <span> {item.createdProjects} projects · {item.createdWorkItems}{"" ""} work items </span> </div>","href={`/app/${workspaceSlug}/settings/adoption/imports/${item.id}`}","Adoption & portability","project_templates, delivery_import, workspace_exports","Business flow / supporting control"
"src/components/adoption-workspace.tsx","334","TemplateLedger","summary","New project template","","Adoption & portability","project_templates, delivery_import, workspace_exports","Business flow / supporting control"
"src/components/adoption-workspace.tsx","335","TemplateLedger","TemplateForm","Dynamic/reusable control","onSubmit={createTemplate}","Adoption & portability","project_templates, delivery_import, workspace_exports","Business flow / supporting control"
"src/components/adoption-workspace.tsx","344","TemplateLedger","summary","<span> <strong>{template.name}</strong> <small> {template.description || ""No template description""} </small> </span> <span> v{template.version} · {template.definition.milestones.length}{"" ""} milestones · {template.definition.workItems.length} work items </span>","","Adoption & portability","project_templates, delivery_import, workspace_exports","Business flow / supporting control"
"src/components/adoption-workspace.tsx","357","TemplateLedger","form","<h3>Apply current snapshot</h3> <ProjectFields clients={clients} members={members} /> <button type=""submit"" disabled={Boolean(pending)}> {pending === `apply-${template.id}` ? ""Applying…"" : `Apply v${template.version}`} </button>","action={(data) => applyTemplate(template.id, data)}","Adoption & portability","project_templates, delivery_import, workspace_exports","Business flow / supporting control"
"src/components/adoption-workspace.tsx","363","TemplateLedger","button","{pending === `apply-${template.id}` ? ""Applying…"" : `Apply v${template.version}`}","","Adoption & portability","project_templates, delivery_import, workspace_exports","Business flow / supporting control"
"src/components/adoption-workspace.tsx","370","TemplateLedger","summary","Edit template definition","","Adoption & portability","project_templates, delivery_import, workspace_exports","Business flow / supporting control"
"src/components/adoption-workspace.tsx","371","TemplateLedger","TemplateForm","Dynamic/reusable control","onAction={(data) => updateTemplate(template.id, data)}","Adoption & portability","project_templates, delivery_import, workspace_exports","Business flow / supporting control"
"src/components/adoption-workspace.tsx","377","TemplateLedger","button","{pending === `archive-${template.id}` ? ""Archiving…"" : ""Archive template""}","onClick={() => archiveTemplate(template.id)}","Adoption & portability","project_templates, delivery_import, workspace_exports","Business flow / supporting control"
"src/components/adoption-workspace.tsx","416","TemplateForm","form","{template ? ( <input type=""hidden"" name=""originalDefinition"" value={JSON.stringify(template.definition)} /> ) : null} <label> <span>Template name</span> <input name=""name"" defaultValue={template?.name} required minLength={2} maxLength={120} /> </label> <label className=""adoption-span""> <span>Description</span> <textare","onSubmit={onSubmit}; action={onAction}","Adoption & portability","project_templates, delivery_import, workspace_exports","Business flow / supporting control"
"src/components/adoption-workspace.tsx","422","TemplateForm","input","""originalDefinition""","","Adoption & portability","project_templates, delivery_import, workspace_exports","Business flow / supporting control"
"src/components/adoption-workspace.tsx","430","TemplateForm","input","""name""","","Adoption & portability","project_templates, delivery_import, workspace_exports","Business flow / supporting control"
"src/components/adoption-workspace.tsx","440","TemplateForm","textarea","""description""","","Adoption & portability","project_templates, delivery_import, workspace_exports","Business flow / supporting control"
"src/components/adoption-workspace.tsx","449","TemplateForm","textarea","""projectSummary""","","Adoption & portability","project_templates, delivery_import, workspace_exports","Business flow / supporting control"
"src/components/adoption-workspace.tsx","461","TemplateForm","textarea","""discovery | Discovery complete | 14""","","Adoption & portability","project_templates, delivery_import, workspace_exports","Business flow / supporting control"
"src/components/adoption-workspace.tsx","475","TemplateForm","textarea","""cycle-1 | Cycle 1 | 0 | 14""","","Adoption & portability","project_templates, delivery_import, workspace_exports","Business flow / supporting control"
"src/components/adoption-workspace.tsx","490","TemplateForm","textarea","""brief | | Confirm delivery brief | Client goals are recorded | discovery | cycle-1 | discovery,client""","","Adoption & portability","project_templates, delivery_import, workspace_exports","Business flow / supporting control"
"src/components/adoption-workspace.tsx","499","TemplateForm","button","{pending ? ""Saving…"" : template ? ""Save new version"" : ""Create template""}","","Adoption & portability","project_templates, delivery_import, workspace_exports","Business flow / supporting control"
"src/components/adoption-workspace.tsx","518","ProjectFields","select","""clientId""","","Adoption & portability","project_templates, delivery_import, workspace_exports","Business flow / supporting control"
"src/components/adoption-workspace.tsx","528","ProjectFields","input","""key""","","Adoption & portability","project_templates, delivery_import, workspace_exports","Business flow / supporting control"
"src/components/adoption-workspace.tsx","532","ProjectFields","input","""name""","","Adoption & portability","project_templates, delivery_import, workspace_exports","Business flow / supporting control"
"src/components/adoption-workspace.tsx","536","ProjectFields","select","""leadUserId""","","Adoption & portability","project_templates, delivery_import, workspace_exports","Business flow / supporting control"
"src/components/adoption-workspace.tsx","546","ProjectFields","input","""startDate""","","Adoption & portability","project_templates, delivery_import, workspace_exports","Business flow / supporting control"
"src/components/adoption-workspace.tsx","550","ProjectFields","input","""targetDate""","","Adoption & portability","project_templates, delivery_import, workspace_exports","Business flow / supporting control"
"src/components/adoption-workspace.tsx","554","ProjectFields","textarea","""summary""","","Adoption & portability","project_templates, delivery_import, workspace_exports","Business flow / supporting control"
"src/components/adoption-workspace.tsx","631","ImportComposer","form","<label> <span>Preset</span> <select name=""sourceKind"" defaultValue=""jira_csv""> <option value=""jira_csv"">Jira CSV</option> <option value=""generic_csv"">Generic CSV</option> </select> </label> <label> <span>Source namespace</span> <input name=""sourceNamespace"" placeholder=""jira-acme-cloud"" required maxLength={160} /> </la","onSubmit={preview}","Adoption & portability","project_templates, delivery_import, workspace_exports","Business flow / supporting control"
"src/components/adoption-workspace.tsx","634","ImportComposer","select","""sourceKind""","","Adoption & portability","project_templates, delivery_import, workspace_exports","Business flow / supporting control"
"src/components/adoption-workspace.tsx","641","ImportComposer","input","""jira-acme-cloud""","","Adoption & portability","project_templates, delivery_import, workspace_exports","Business flow / supporting control"
"src/components/adoption-workspace.tsx","650","ImportComposer","input","""Jira active delivery export""","","Adoption & portability","project_templates, delivery_import, workspace_exports","Business flow / supporting control"
"src/components/adoption-workspace.tsx","659","ImportComposer","input","""file""","","Adoption & portability","project_templates, delivery_import, workspace_exports","Business flow / supporting control"
"src/components/adoption-workspace.tsx","663","ImportComposer","select","""clientId""","","Adoption & portability","project_templates, delivery_import, workspace_exports","Business flow / supporting control"
"src/components/adoption-workspace.tsx","673","ImportComposer","select","""defaultLeadUserId""","","Adoption & portability","project_templates, delivery_import, workspace_exports","Business flow / supporting control"
"src/components/adoption-workspace.tsx","683","ImportComposer","input","""defaultProjectKey""","","Adoption & portability","project_templates, delivery_import, workspace_exports","Business flow / supporting control"
"src/components/adoption-workspace.tsx","687","ImportComposer","input","""defaultProjectName""","","Adoption & portability","project_templates, delivery_import, workspace_exports","Business flow / supporting control"
"src/components/adoption-workspace.tsx","690","ImportComposer","summary","Explicit column and value mapping","","Adoption & portability","project_templates, delivery_import, workspace_exports","Business flow / supporting control"
"src/components/adoption-workspace.tsx","696","ImportComposer","textarea","""projectKey=Project key, issueKey=Issue key, title=Summary""","","Adoption & portability","project_templates, delivery_import, workspace_exports","Business flow / supporting control"
"src/components/adoption-workspace.tsx","706","ImportComposer","textarea","""Open=backlog, In Progress=in_progress, Done=done""","","Adoption & portability","project_templates, delivery_import, workspace_exports","Business flow / supporting control"
"src/components/adoption-workspace.tsx","716","ImportComposer","textarea","""Highest=urgent, High=high, Medium=medium, Low=low""","","Adoption & portability","project_templates, delivery_import, workspace_exports","Business flow / supporting control"
"src/components/adoption-workspace.tsx","723","ImportComposer","button","{pending === ""preview"" ? ""Parsing bounded preview…"" : ""Create dry-run preview""}","","Adoption & portability","project_templates, delivery_import, workspace_exports","Business flow / supporting control"
"src/components/adoption-workspace.tsx","733","ImportComposer","ImportLedger","Dynamic/reusable control","onResult={setResult}","Adoption & portability","project_templates, delivery_import, workspace_exports","Business flow / supporting control"
"src/components/adoption-workspace.tsx","766","ImportResultWorkspace","Link","Back to adoption","href={`/app/${workspaceSlug}/settings/adoption`}","Adoption & portability","project_templates, delivery_import, workspace_exports","Business flow / supporting control"
"src/components/adoption-workspace.tsx","773","ImportResultWorkspace","ImportLedger","Dynamic/reusable control","onResult={setResult}","Adoption & portability","project_templates, delivery_import, workspace_exports","Business flow / supporting control"
"src/components/adoption-workspace.tsx","900","ImportLedger","select","<option value="""">Keep unresolved</option> {members.map((member) => ( <option key={member.userId} value={member.userId}> Map to {member.name} ({member.email}) </option> ))}","onChange={(event) => setIdentityMappings((current) => ({ ...current, [identity.id]: event.target.value || null, })) }","Adoption & portability","project_templates, delivery_import, workspace_exports","Business flow / supporting control"
"src/components/adoption-workspace.tsx","954","ImportLedger","summary","{row.messages.length} notes","","Adoption & portability","project_templates, delivery_import, workspace_exports","Business flow / supporting control"
"src/components/adoption-workspace.tsx","972","ImportLedger","Link","Next 100 rows","href={`/app/${workspaceSlug}/settings/adoption/imports/${result.id}?page=${result.rowPageInfo.page + 1}`}","Adoption & portability","project_templates, delivery_import, workspace_exports","Business flow / supporting control"
"src/components/adoption-workspace.tsx","980","ImportLedger","button","{pending ? ""Committing bounded batches…"" : result.committedAnything ? ""Resume failed rows and skip existing source objects"" : ""Confirm import and skip existing source objects""}","onClick={confirm}","Adoption & portability","project_templates, delivery_import, workspace_exports","Business flow / supporting control"
"src/components/adoption-workspace.tsx","1020","ExportLedger","select","<option value="""">First 25 non-archived projects</option> {projects.map((project) => ( <option key={project.id} value={project.id}> {project.key} · {project.name} </option> ))}","onChange={(event) => { setProjectId(event.target.value); setProjectPage(1); }}","Adoption & portability","project_templates, delivery_import, workspace_exports","Business flow / supporting control"
"src/components/adoption-workspace.tsx","1038","ExportLedger","input","Dynamic/reusable control","onChange={(event) => setProjectPage(Math.max(1, Number(event.target.value) || 1)) }","Adoption & portability","project_templates, delivery_import, workspace_exports","Business flow / supporting control"
"src/components/adoption-workspace.tsx","1049","ExportLedger","a","Download CSV","href={href}","Adoption & portability","project_templates, delivery_import, workspace_exports","Business flow / supporting control"
"src/components/ai-delivery-workspace.tsx","236","AiDeliveryWorkspace","form","<div className=""section-heading""> <div> <p className=""eyebrow"">New analysis</p> <h2>Choose a bounded job</h2> </div> </div> <label> Job <select value={kind} onChange={(event) => setKind(event.target.value as JobKind)} > {allowedKinds.map((item) => ( <option key={item} value={item}> {labelForKind(item)} </option> ))} </","onSubmit={createJob}","AI assistance / Commercial","ai_analysis, ai_candidate_review, commercial_clarifications","Business flow / supporting control"
"src/components/ai-delivery-workspace.tsx","245","AiDeliveryWorkspace","select","{allowedKinds.map((item) => ( <option key={item} value={item}> {labelForKind(item)} </option> ))}","onChange={(event) => setKind(event.target.value as JobKind)}","AI assistance / Commercial","ai_analysis, ai_candidate_review, commercial_clarifications","Business flow / supporting control"
"src/components/ai-delivery-workspace.tsx","259","AiDeliveryWorkspace","select","{requests.map((item) => ( <option key={item.id} value={item.id}> {item.title} · {item.state.replaceAll(""_"", "" "")} </option> ))}","onChange={(event) => setRequestId(event.target.value)}","AI assistance / Commercial","ai_analysis, ai_candidate_review, commercial_clarifications","Business flow / supporting control"
"src/components/ai-delivery-workspace.tsx","275","AiDeliveryWorkspace","select","<option value="""">Whole project</option> {milestones.map((item) => ( <option key={item.id} value={item.id}> {item.name} · {item.status.replaceAll(""_"", "" "")} </option> ))}","onChange={(event) => setMilestoneId(event.target.value)}","AI assistance / Commercial","ai_analysis, ai_candidate_review, commercial_clarifications","Business flow / supporting control"
"src/components/ai-delivery-workspace.tsx","291","AiDeliveryWorkspace","select","{workItems.map((item) => ( <option key={item.id} value={item.id}> {item.identifier} · {item.title} </option> ))}","onChange={(event) => setWorkItemId(event.target.value)}","AI assistance / Commercial","ai_analysis, ai_candidate_review, commercial_clarifications","Business flow / supporting control"
"src/components/ai-delivery-workspace.tsx","304","AiDeliveryWorkspace","button","{pending ? ""Starting…"" : ""Run analysis""}","","AI assistance / Commercial","ai_analysis, ai_candidate_review, commercial_clarifications","Business flow / supporting control"
"src/components/ai-delivery-workspace.tsx","320","AiDeliveryWorkspace","button","<span>{labelForKind(job.kind)}</span> <small> {job.status} · {new Date(job.createdAt).toLocaleString()} </small>","onClick={() => setSelectedId(job.id)}","AI assistance / Commercial","ai_analysis, ai_candidate_review, commercial_clarifications","Business flow / supporting control"
"src/components/ai-delivery-workspace.tsx","338","AiDeliveryWorkspace","JobResult","Dynamic/reusable control","onMessage={setMessage}","AI assistance / Commercial","ai_analysis, ai_candidate_review, commercial_clarifications","Business flow / supporting control"
"src/components/ai-delivery-workspace.tsx","359","AiDeliveryWorkspace","button","Retry with current context","onClick={() => jobAction(""retry"")}","AI assistance / Commercial","ai_analysis, ai_candidate_review, commercial_clarifications","Business flow / supporting control"
"src/components/ai-delivery-workspace.tsx","364","AiDeliveryWorkspace","button","Cancel job","onClick={() => jobAction(""cancel"")}","AI assistance / Commercial","ai_analysis, ai_candidate_review, commercial_clarifications","Business flow / supporting control"
"src/components/ai-delivery-workspace.tsx","437","JobResult","ScopeResult","Dynamic/reusable control","onMessage={onMessage}","AI assistance / Commercial","ai_analysis, ai_candidate_review, commercial_clarifications","Business flow / supporting control"
"src/components/ai-delivery-workspace.tsx","456","JobResult","summary","Attempt and usage metadata","","AI assistance / Commercial","ai_analysis, ai_candidate_review, commercial_clarifications","Business flow / supporting control"
"src/components/ai-delivery-workspace.tsx","470","JobResult","button","Close evidence","onClick={() => setEvidenceKey("""")}","AI assistance / Commercial","ai_analysis, ai_candidate_review, commercial_clarifications","Business flow / supporting control"
"src/components/ai-delivery-workspace.tsx","508","EvidenceKeys","button","{key}","onClick={() => cite(key)}","AI assistance / Commercial","ai_analysis, ai_candidate_review, commercial_clarifications","Business flow / supporting control"
"src/components/ai-delivery-workspace.tsx","649","ScopeResult","input","Dynamic/reusable control","onChange={() => setWorkKeys((current) => current.includes(candidate.candidateKey) ? current.filter((key) => key !== candidate.candidateKey) : [...current, candidate.candidateKey], ) }","AI assistance / Commercial","ai_analysis, ai_candidate_review, commercial_clarifications","Business flow / supporting control"
"src/components/ai-delivery-workspace.tsx","669","ScopeResult","input","Dynamic/reusable control","onChange={() => setQuestionKeys((current) => current.includes(candidate.candidateKey) ? current.filter((key) => key !== candidate.candidateKey) : [...current, candidate.candidateKey], ) }","AI assistance / Commercial","ai_analysis, ai_candidate_review, commercial_clarifications","Business flow / supporting control"
"src/components/ai-delivery-workspace.tsx","687","ScopeResult","button","Preview selected drafts","onClick={() => action(""preview"")}","AI assistance / Commercial","ai_analysis, ai_candidate_review, commercial_clarifications","Business flow / supporting control"
"src/components/ai-delivery-workspace.tsx","706","ScopeResult","button","Confirm and create drafts","onClick={() => action(""confirm"")}","AI assistance / Commercial","ai_analysis, ai_candidate_review, commercial_clarifications","Business flow / supporting control"
"src/components/ai-delivery-workspace.tsx","844","ClarificationDrafts","button","Copy","onClick={() => navigator.clipboard.writeText(item.question)}","AI assistance / Commercial","ai_analysis, ai_candidate_review, commercial_clarifications","Business flow / supporting control"
"src/components/ai-delivery-workspace.tsx","853","ClarificationDrafts","button","Resolve","onClick={() => update(item.id, ""resolved"")}","AI assistance / Commercial","ai_analysis, ai_candidate_review, commercial_clarifications","Business flow / supporting control"
"src/components/ai-delivery-workspace.tsx","860","ClarificationDrafts","button","Dismiss","onClick={() => update(item.id, ""dismissed"")}","AI assistance / Commercial","ai_analysis, ai_candidate_review, commercial_clarifications","Business flow / supporting control"
"src/components/client-collaboration-workspace.tsx","342","ClientCollaborationWorkspace","form","<label> <span>Client summary</span> <textarea name=""summary"" required maxLength={2_000} rows={6} defaultValue={preview.project.summary ?? """"} /> </label> <button type=""submit"" disabled={pending}> Save client summary </button>","onSubmit={saveProfile}","Client collaboration","client_publication, client_participants, client_request_review, client_acceptance_publication, client_team_discussion","Business flow / supporting control"
"src/components/client-collaboration-workspace.tsx","345","ClientCollaborationWorkspace","textarea","""summary""","","Client collaboration","client_publication, client_participants, client_request_review, client_acceptance_publication, client_team_discussion","Business flow / supporting control"
"src/components/client-collaboration-workspace.tsx","353","ClientCollaborationWorkspace","button","Save client summary","","Client collaboration","client_publication, client_participants, client_request_review, client_acceptance_publication, client_team_discussion","Business flow / supporting control"
"src/components/client-collaboration-workspace.tsx","361","ClientCollaborationWorkspace","form","<label> <span>Email</span> <input name=""email"" type=""email"" required maxLength={320} /> </label> <label> <span>Role</span> <select name=""role""> <option value=""collaborator"">Collaborator</option> <option value=""approver"">Approver</option> </select> </label> <button type=""submit"" disabled={pending}> Create invitation </b","onSubmit={invite}","Client collaboration","client_publication, client_participants, client_request_review, client_acceptance_publication, client_team_discussion","Business flow / supporting control"
"src/components/client-collaboration-workspace.tsx","364","ClientCollaborationWorkspace","input","""email""","","Client collaboration","client_publication, client_participants, client_request_review, client_acceptance_publication, client_team_discussion","Business flow / supporting control"
